GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
gcloud-tutorials-calendar,com.google.sps.servlets,GetEventsServlet,19,0,0,0,6,0,2,0,2,0
gcloud-tutorials-calendar,com.google.sps.servlets,QueryServlet,36,0,0,0,10,0,2,0,2,0
gcloud-tutorials-calendar,com.google.sps,MeetingRequest,0,43,0,2,0,12,0,6,0,5
gcloud-tutorials-calendar,com.google.sps,TimeRange.new Comparator() {...},8,3,0,0,1,1,1,1,1,1
gcloud-tutorials-calendar,com.google.sps,FindMeetingQuery,0,414,1,59,0,96,1,35,0,6
gcloud-tutorials-calendar,com.google.sps,TimeRange.new Comparator() {...},8,3,0,0,1,1,1,1,1,1
gcloud-tutorials-calendar,com.google.sps,Events,799,0,0,0,100,0,2,0,2,0
gcloud-tutorials-calendar,com.google.sps,TimeRange,10,216,5,31,2,34,5,29,0,16
gcloud-tutorials-calendar,com.google.sps,Event,56,37,13,3,7,12,12,4,4,4
gcloud-tutorials-calendar,com.google.sps,Event.new Comparator() {...},0,11,0,0,0,2,0,2,0,2
